Accession	Submission	Status	Updated	Published	Received	Type	Center	Visibility	Alias	Experiment	Sample	Study	Loaded	Spots	Bases	Md5sum	BioSample	BioProject	ReplacedBy
SUB000001	SUB000001	live	2018-04-16T21:17:16Z	2015-02-02T07:44:00Z	2010-01-15T06:55:02Z	SUBMISSION	-	-	-	-	-	-	-	-	-	-	-	-	-
STD000001	SUB000001	live	2017-09-17T10:37:08Z	2015-07-31T15:20:47Z	2010-01-15T06:55:08Z	STUDY	-	-	-	-	-	-	-	-	-	-	-	PROJ00000001	-
RUN000001	SUB000001	live	2015-02-02T07:44:00Z	2015-02-02T07:44:00Z	2010-01-15T06:55:12Z	RUN	-	-	-	EXP00001	SAMP00000001	STD000001	-	-	-	-	BSAMP0000001	PROJ00000001	-
SAMP00000001	SUB000001	live	2018-04-16T21:16:58Z	2015-02-02T07:44:00Z	2010-01-15T06:55:09Z	SAMPLE	-	-	-	-	-	-	-	-	-	-	BSAMP0000001	-	-
EXP00001	SUB000001	live	2015-02-02T07:44:00Z	2015-02-02T07:44:00Z	2010-01-15T06:55:10Z	EXPERIMENT	-	-	-	-	SAMP00000001	STD000001	-	-	-	-	BSAMP0000001	PROJ00000001	-
ANA000001	SUB000001	live	2015-02-02T07:44:00Z	2015-02-02T07:44:00Z	2010-01-15T07:53:09Z	ANALYSIS	-	-	-	-	-	STD000001	-	-	-	-	-	PROJ00000001	-
SUB000002	SUB000002	live	2018-04-16T21:17:16Z	2015-02-02T07:44:00Z	2010-01-15T06:55:02Z	SUBMISSION	-	-	-	-	-	-	-	-	-	-	-	-	-
STD000002	SUB000002	live	2017-09-17T10:37:08Z	2015-07-31T15:20:47Z	2010-01-15T06:55:08Z	STUDY	-	-	-	-	-	-	-	-	-	-	-	PROJ00000002	-
RUN000002	SUB000002	live	2015-02-02T07:44:00Z	2015-02-02T07:44:00Z	2010-01-15T06:55:12Z	RUN	-	-	-	EXP00002	SAMP00000002	STD000002	-	-	-	-	BSAMP0000002	PROJ00000002	-
EXP00002	SUB000002	live	2015-02-02T07:44:00Z	2015-02-02T07:44:00Z	2010-01-15T06:55:10Z	EXPERIMENT	-	-	-	-	SAMP00000002	STD000002	-	-	-	-	BSAMP0000002	PROJ00000002	-
ANA000002	SUB000002	live	2015-02-02T07:44:00Z	2015-02-02T07:44:00Z	2010-01-15T07:53:09Z	ANALYSIS	-	-	-	-	-	STD000002	-	-	-	-	-	PROJ00000002	-
SUB000003	SUB000003	live	2018-04-16T21:17:16Z	2015-02-02T07:44:00Z	2010-01-15T06:55:02Z	SUBMISSION	-	-	-	-	-	-	-	-	-	-	-	-	-
STD000003	SUB000003	live	2017-09-17T10:37:08Z	2015-07-31T15:20:47Z	2010-01-15T06:55:08Z	STUDY	-	-	-	-	-	-	-	-	-	-	-	PROJ00000003	-
RUN000003	SUB000003	live	2015-02-02T07:44:00Z	2015-02-02T07:44:00Z	2010-01-15T06:55:12Z	RUN	-	-	-	EXP00003	SAMP00000003	STD000003	-	-	-	-	BSAMP0000003	PROJ00000003	-
EXP00003	SUB000003	live	2015-02-02T07:44:00Z	2015-02-02T07:44:00Z	2010-01-15T06:55:10Z	EXPERIMENT	-	-	-	-	SAMP00000003	STD000003	-	-	-	-	BSAMP0000003	PROJ00000003	-
ANA000003	SUB000003	live	2015-02-02T07:44:00Z	2015-02-02T07:44:00Z	2010-01-15T07:53:09Z	ANALYSIS	-	-	-	-	-	STD000003	-	-	-	-	-	PROJ00000003	-
