entry_id,self_accession,parent_accession
1,JGAD00000000001,JGAP00000000001
1,JGAP00000000001,JGAC00000000001
1,JGAS00000000001,
2,JGAP00000000001,JGAC00000000001
3,JGAP00000000001,JGAC00000000001
4,JGAD00000000002,JGAP00000000001
4,JGAP00000000001,JGAC00000000001
4,JGAS00000000002,
5,JGAP00000000001,JGAC00000000001
6,JGAD00000000004,JGAP00000000001
6,JGAP00000000001,JGAC00000000001
6,JGAS00000000004,
7,JGAD00000000005,JGAP00000000001
7,JGAP00000000001,JGAC00000000001
7,JGAS00000000005,
8,JGAD00000000006,JGAP00000000001
8,JGAP00000000001,JGAC00000000001
8,JGAS00000000006,
9,JGAD00000000007,JGAP00000000001
9,JGAP00000000001,JGAC00000000001
9,JGAS00000000007,
10,JGAD00000000008,JGAP00000000001
10,JGAP00000000001,JGAC00000000001
10,JGAS00000000008,
11,JGAD00000000009,JGAP00000000001
11,JGAP00000000001,JGAC00000000001
11,JGAS00000000009,
12,JGAP00000000001,JGAC00000000001
13,JGAD00000000011,JGAP00000000001
13,JGAP00000000001,JGAC00000000001
13,JGAS00000000011,
14,JGAD00000000012,JGAP00000000001
14,JGAP00000000001,JGAC00000000001
14,JGAS00000000012,
15,JGAD00000000014,JGAP00000000001
15,JGAP00000000001,JGAC00000000001
15,JGAS00000000014,
16,JGAD00000000013,JGAP00000000001
16,JGAP00000000001,JGAC00000000001
16,JGAS00000000013,
17,JGAD00000000015,JGAP00000000001
17,JGAP00000000001,JGAC00000000001
17,JGAS00000000015,
18,JGAD00000000015,JGAP00000000001
18,JGAP00000000001,JGAC00000000001
18,JGAS00000000015,
19,JGAD00000000016,JGAP00000000001
19,JGAP00000000001,JGAC00000000001
19,JGAS00000000016,
20,JGAD00000000017,JGAP00000000001
20,JGAP00000000001,JGAC00000000001
20,JGAS00000000017,
21,JGAP00000000001,JGAC00000000001
22,JGAP00000000001,JGAC00000000001
23,JGAD00000000018,JGAP00000000001
23,JGAP00000000001,JGAC00000000001
23,JGAS00000000018,
24,JGAP00000000001,JGAC00000000001
25,JGAP00000000001,JGAC00000000001
26,JGAD00000000021,JGAP00000000001
26,JGAP00000000001,JGAC00000000001
26,JGAS00000000021,
27,JGAD00000000022,JGAP00000000001
27,JGAP00000000001,JGAC00000000001
27,JGAS00000000022,
28,JGAD00000000024,JGAP00000000001
28,JGAP00000000001,JGAC00000000001
28,JGAS00000000024,
29,JGAD00000000023,JGAP00000000004
29,JGAP00000000004,JGAC00000000001
29,JGAS00000000023,
30,JGAD00000000028,JGAP00000000001
30,JGAP00000000001,JGAC00000000001
30,JGAS00000000028,
31,JGAD00000000025,JGAP00000000001
31,JGAP00000000001,JGAC00000000001
31,JGAS00000000025,
32,JGAD00000000027,JGAP00000000001
32,JGAP00000000001,JGAC00000000001
