accession,datecreated,datepublished,datemodified
JGAC000001,2014-07-07 14:00:37.208+09,2020-09-25 15:52:15.563673+09,2020-09-24 16:28:06.639+09
JGAD000001,2014-07-18 10:37:12.912+09,2020-09-28 11:03:50.120712+09,2020-09-24 16:29:48.938+09
JGAD000002,2014-09-04 14:10:13.63+09,2020-09-28 11:15:19.875625+09,2020-09-24 16:29:49.14+09
JGAD000004,2014-09-08 17:23:12.765+09,2020-09-28 11:15:20.035658+09,2020-09-24 16:30:07.308+09
JGAD000005,2014-09-09 10:21:29.888+09,2020-09-28 11:15:19.997696+09,2020-09-24 16:30:07.373+09
JGAD000006,2014-10-29 14:47:13.369+09,2020-09-28 11:15:19.838986+09,2020-09-24 16:30:27.988+09
JGAD000007,2014-10-30 22:11:17.146+09,2020-09-28 11:15:19.979593+09,2020-09-24 16:30:28.12+09
JGAD000008,2014-11-04 13:08:29.683+09,2020-09-28 11:15:19.992812+09,2020-09-24 16:30:28.193+09
JGAD000009,2014-11-20 17:16:18.694+09,2020-09-28 11:15:20.123977+09,2020-09-24 16:30:48.816+09
JGAD000011,2014-12-22 13:37:41.825+09,2020-09-28 11:15:19.552544+09,2020-09-24 16:32:00.257+09
JGAD000012,2014-12-24 17:04:53.938+09,2020-09-28 11:15:19.705146+09,2020-09-24 17:18:11.847+09
JGAD000013,2015-01-06 19:05:34.481+09,2020-09-28 11:15:19.807787+09,2020-09-24 17:18:12.171+09
JGAD000014,2015-01-05 20:53:09.313+09,2020-09-28 11:15:19.935577+09,2020-09-24 17:18:12.008+09
JGAD000015,2015-01-15 00:16:03.949+09,2020-09-28 11:15:19.626574+09,2020-09-24 17:18:28.833+09
JGAD000016,2015-01-23 10:24:52.075+09,2020-09-28 11:15:19.685598+09,2020-09-24 17:18:54.379+09
JGAD000017,2015-02-02 14:31:58.572+09,2020-09-28 11:15:19.643004+09,2020-09-24 17:18:54.456+09
JGAD000018,2015-03-04 15:37:29.57+09,2020-09-28 11:15:34.888657+09,2020-09-24 17:27:38.936+09
JGAD000021,2015-03-05 12:02:54.375+09,2020-09-28 11:15:34.539063+09,2020-09-24 17:28:52.485+09
JGAD000022,2015-03-18 17:58:59.288+09,2020-09-28 11:15:34.970912+09,2020-09-24 17:30:03.948+09
JGAD000023,2015-04-15 05:00:29.723+09,2020-09-28 11:15:34.677921+09,2020-09-24 17:30:23.004+09
JGAD000024,2015-03-27 13:26:47.591+09,2020-09-28 11:15:34.897395+09,2020-09-24 17:30:03.994+09
JGAD000025,2015-05-01 08:33:45.062+09,2020-09-28 11:15:34.811073+09,2020-09-24 17:30:37.351+09
JGAD000026,2015-06-01 19:07:15.782932+09,2020-09-28 11:15:34.605404+09,2020-09-24 17:31:24.808+09
JGAD000027,2015-05-08 09:41:23.291+09,2020-09-28 11:15:34.622415+09,2020-09-24 17:31:01.756+09
JGAD000028,2015-04-28 13:41:55.516+09,2020-09-28 11:15:34.682038+09,2020-09-24 17:30:23.236+09
JGAD000032,2015-08-23 23:37:39.004221+09,2020-09-28 11:15:34.678039+09,2020-09-24 17:32:24.546+09
JGAD000035,2015-08-29 11:13:28.172413+09,2020-09-28 11:20:19.844373+09,2020-09-24 17:34:33.595+09
JGAD000036,2015-09-05 22:53:08.577818+09,2020-09-28 11:20:19.806514+09,2020-09-24 17:34:57.669+09
JGAD000037,2015-09-24 14:08:38.900895+09,2020-09-28 11:20:19.800586+09,2020-09-24 17:35:57.132+09
JGAD000038,2015-10-07 11:48:09.599814+09,2020-09-28 11:20:19.604806+09,2020-09-24 17:36:56.925+09
JGAD000039,2015-10-20 11:24:32.605206+09,2020-09-28 11:20:19.624682+09,2020-09-24 17:36:57.014+09
JGAD000040,2015-10-25 10:46:07.666124+09,2020-09-28 11:20:19.96498+09,2020-09-24 17:37:35.864+09
JGAD000041,2015-10-28 17:59:54.765295+09,2020-09-28 11:20:19.732815+09,2020-09-24 17:37:36.078+09
JGAD000042,2015-11-10 20:07:22.809545+09,2020-09-28 11:20:19.699509+09,2020-09-24 17:39:12.832+09
JGAD000043,2015-11-10 20:09:48.255233+09,2020-09-28 11:20:19.740391+09,2020-09-24 17:39:50.023+09
JGAD000044,2015-11-10 20:10:33.6549+09,2020-09-28 11:20:19.628871+09,2020-09-24 17:39:50.178+09
JGAD000045,2015-11-10 20:11:07.733785+09,2020-09-28 11:20:20.035133+09,2020-09-24 17:39:50.216+09
JGAD000046,2015-12-21 13:27:51.660289+09,2020-09-28 11:20:19.881041+09,2020-09-24 17:41:25.943+09
JGAD000047,2016-01-06 18:45:02.729396+09,2020-09-28 11:20:19.679961+09,2020-09-24 17:42:28.155+09
JGAD000051,2016-02-05 11:36:49.217656+09,2020-09-28 11:20:19.617494+09,2020-09-24 18:06:37.417+09
JGAD000052,2016-02-24 14:08:46.745929+09,2020-09-28 11:20:34.778565+09,2020-09-24 18:07:55.2+09
JGAD000053,2016-03-07 17:53:12.663054+09,2020-09-28 11:20:34.61365+09,2020-09-24 18:07:55.37+09
JGAD000057,2016-05-26 08:52:25.259041+09,2020-09-28 11:20:34.958707+09,2020-09-24 18:09:15.358+09
JGAD000059,2016-06-23 09:33:19.175935+09,2020-09-28 11:20:34.575791+09,2020-09-24 18:11:23.798+09
JGAD000060,2016-07-08 15:25:43.408112+09,2020-09-28 11:20:34.705888+09,2020-09-24 18:12:09.112+09
JGAD000061,2016-07-12 16:42:19.592085+09,2020-09-28 11:20:34.576779+09,2020-09-24 18:13:51.887+09
JGAD000062,2016-07-09 01:17:45.871243+09,2020-09-28 11:20:34.722958+09,2020-09-24 18:12:51.845+09
JGAD000064,2016-08-16 12:07:04.539307+09,2020-09-28 11:20:35.03509+09,2020-09-24 18:13:52.172+09
JGAD000065,2016-08-16 15:00:21.561028+09,2020-09-28 11:20:34.567332+09,2020-09-24 18:14:08.98+09
JGAD000070,2016-09-20 20:30:09.306792+09,2020-09-28 11:20:34.634507+09,2020-09-24 18:15:51.264+09
JGAD000073,2016-10-04 08:55:31.847229+09,2020-09-28 11:20:34.453554+09,2020-09-24 18:17:31.275+09
JGAD000075,2016-10-15 14:10:23.693247+09,2020-09-28 11:20:50.030392+09,2020-09-24 18:19:07.616+09
JGAD000076,2016-10-19 09:02:32.642826+09,2020-09-28 11:20:49.759698+09,2020-09-24 18:20:23.858+09
JGAD000077,2016-10-28 09:40:01.534833+09,2020-09-28 11:20:49.7069+09,2020-09-24 18:20:23.941+09
JGAD000078,2016-11-14 10:12:03.515739+09,2020-09-28 11:20:49.744005+09,2020-09-24 18:20:24.209+09
JGAD000079,2016-11-14 10:27:41.58448+09,2020-09-28 11:20:50.031088+09,2020-09-24 18:21:21.83+09
JGAD000080,2016-11-14 10:29:44.214619+09,2020-09-28 11:20:49.710632+09,2020-09-24 18:21:22.071+09
JGAD000085,2017-02-06 15:35:22.300343+09,2020-09-28 11:21:04.754755+09,2020-09-24 18:39:30.602+09
JGAD000086,2016-12-31 07:28:30.802347+09,2020-09-28 11:20:50.059592+09,2020-09-24 18:30:24.871+09
JGAD000087,2017-01-09 06:06:35.354425+09,2020-09-28 11:20:49.723666+09,2020-09-24 18:31:44.145+09
JGAD000088,2017-03-01 11:32:28.87597+09,2020-09-28 11:25:19.7502+09,2020-09-24 18:41:54.736+09
JGAD000089,2017-01-11 17:30:24.819303+09,2020-09-28 11:20:49.845937+09,2020-09-24 18:32:05.502+09
JGAD000090,2017-01-19 14:59:05.589253+09,2020-09-28 11:20:49.861369+09,2020-09-24 18:33:24.364+09
JGAD000091,2016-12-21 18:44:05.292426+09,2020-09-28 11:20:49.901262+09,2020-09-24 18:27:27.175+09
JGAD000092,2017-02-07 14:05:55.810572+09,2020-09-28 11:21:04.665839+09,2020-09-24 18:40:08.692+09
JGAD000093,2017-03-17 11:13:57.354552+09,2020-09-28 11:25:20.033812+09,2020-09-24 18:43:38.959+09
JGAD000094,2017-02-22 00:50:55.278228+09,2020-09-28 11:25:19.950128+09,2020-09-24 18:40:41.487+09
JGAD000095,2017-03-10 12:10:06.409383+09,2020-09-28 11:25:19.992686+09,2020-09-24 18:43:38.633+09
JGAD000096,2017-03-10 22:56:54.799036+09,2020-09-28 11:25:19.727948+09,2020-09-24 18:43:38.678+09
JGAD000098,2017-04-04 15:00:12.105517+09,2020-09-28 11:25:19.85929+09,2020-09-24 18:43:51.97+09
JGAD000099,2017-04-18 12:06:46.087222+09,2020-09-28 11:25:19.93816+09,2020-09-24 18:45:13.685+09
JGAD000101,2017-04-19 16:55:52.466454+09,2020-09-28 11:25:20.020633+09,2020-09-24 19:01:56.815+09
JGAD000102,2017-04-19 16:55:52.466454+09,2020-09-28 11:25:20.020633+09,2020-09-24 19:01:56.82+09
JGAD000104,2017-05-25 10:29:35.063049+09,2020-09-28 11:25:19.692048+09,2020-09-24 19:08:25.989+09
JGAD000105,2017-05-25 10:29:35.063049+09,2020-09-28 11:25:19.692048+09,2020-09-24 19:08:25.996+09
JGAD000106,2017-05-11 11:16:34.930397+09,2020-09-28 11:15:20.035658+09,2020-09-24 19:03:33.298+09
JGAD000107,2017-05-11 11:16:34.930397+09,2020-09-28 11:15:20.035658+09,2020-09-24 19:03:33.311+09
JGAD000108,2017-05-11 11:16:34.930397+09,2020-09-28 11:15:20.035658+09,2020-09-24 19:03:33.318+09
JGAD000109,2017-04-15 08:09:50.098878+09,2020-09-28 11:25:19.662931+09,2020-09-24 18:45:13.602+09
JGAD000110,2017-06-01 17:04:10.0075+09,2020-09-28 11:25:19.715631+09,2020-09-24 19:09:42.464+09
JGAD000111,2017-06-01 17:04:10.0075+09,2020-09-28 11:25:19.715631+09,2020-09-24 19:09:42.48+09
JGAD000112,2017-06-05 11:18:05.607368+09,2020-09-28 11:25:19.83735+09,2020-09-24 19:10:38.171+09
JGAD000113,2017-06-05 11:18:05.607368+09,2020-09-28 11:25:19.83735+09,2020-09-24 19:10:38.181+09
JGAD000114,2017-06-05 11:18:05.607368+09,2020-09-28 11:25:19.83735+09,2020-09-24 19:10:38.188+09
JGAD000115,2017-06-05 15:46:21.433725+09,2020-09-28 11:25:34.615678+09,2020-09-24 19:11:39.724+09
JGAD000116,2017-06-05 14:47:42.149505+09,2020-09-28 11:25:19.977798+09,2020-09-24 19:11:17.923+09
JGAD000117,2017-05-23 20:11:54.081823+09,2020-09-28 11:25:19.616825+09,2020-09-24 19:06:18.969+09
JGAD000118,2017-05-23 20:11:54.081823+09,2020-09-28 11:25:19.616825+09,2020-09-24 19:06:19.006+09
JGAD000120,2017-06-23 10:45:54.514683+09,2020-09-28 11:25:34.641502+09,2020-09-24 19:12:12.285+09
JGAD000121,2017-06-29 08:33:32.132728+09,2020-09-28 11:25:34.930992+09,2020-09-24 19:12:28.299+09
JGAD000122,2017-07-03 10:18:56.262553+09,2020-09-28 11:25:34.861876+09,2020-09-24 19:17:39.374+09
JGAD000123,2017-07-28 12:26:04.049477+09,2020-09-28 11:25:34.810524+09,2020-09-25 02:23:54.564+09
JGAD000124,2017-07-28 12:26:04.049477+09,2020-09-28 11:25:34.810524+09,2020-09-25 02:23:54.568+09
JGAD000125,2017-08-30 08:28:52.777021+09,2020-09-28 11:25:34.581314+09,2020-09-25 02:25:02.913+09
JGAD000129,2017-09-27 10:51:48.599929+09,2020-09-28 11:25:34.65117+09,2020-09-25 02:26:35.962+09
JGAD000130,2017-10-02 11:22:30.434937+09,2020-09-28 11:25:49.806038+09,2020-09-25 02:32:46.195+09
JGAD000131,2017-10-02 11:22:30.434937+09,2020-09-28 11:25:49.806038+09,2020-09-25 02:32:46.257+09
JGAD000132,2017-10-03 17:48:31.356817+09,2020-09-28 11:25:49.63849+09,2020-09-25 02:36:32.755+09
JGAD000134,2017-12-04 11:04:17.255571+09,2020-09-28 11:25:49.68507+09,2020-09-25 02:37:42.847+09
JGAD000135,2017-12-04 18:34:54.454413+09,2020-09-28 11:25:49.826896+09,2020-09-25 02:38:02.375+09
JGAD000136,2017-12-07 13:14:10.845645+09,2020-09-28 11:25:49.900532+09,2020-09-25 02:38:56.276+09
JGAD000137,2018-02-07 11:59:30.459227+09,2020-09-28 11:25:49.623543+09,2020-09-25 02:59:42.712+09
JGAD000138,2018-03-02 16:13:36.854468+09,2020-09-28 11:25:49.663824+09,2020-09-25 02:59:42.952+09
JGAD000139,2018-03-19 15:01:49.42305+09,2020-09-28 11:25:49.865756+09,2020-09-25 03:00:49.927+09
JGAD000140,2018-03-20 19:35:54.584602+09,2020-09-28 11:25:49.732332+09,2020-09-25 03:01:05.625+09
JGAD000141,2018-03-29 15:01:20.526299+09,2020-09-28 11:25:49.70101+09,2020-09-25 03:01:29.906+09
JGAD000142,2018-04-04 16:06:53.196962+09,2020-09-28 11:26:04.665505+09,2020-09-25 03:01:30.083+09
JGAD000143,2018-04-06 16:47:57.480476+09,2020-09-28 11:26:04.562562+09,2020-09-25 03:01:30.365+09
JGAD000144,2018-04-24 11:25:15.400144+09,2020-09-28 11:25:34.810524+09,2020-09-25 03:02:21.767+09
