entry_id,self_accession,parent_accession
8,JGAZ000000001,JGAS000006
8,JGAZ000000002,JGAS000006
8,JGAZ000000003,JGAS000006
8,JGAZ000000004,JGAS000006
8,JGAZ000000005,JGAS000006
8,JGAZ000000006,JGAS000006
8,JGAZ000000007,JGAS000006
8,JGAZ000000008,JGAS000006
8,JGAZ000000009,JGAS000006
8,JGAZ000000010,JGAS000006
8,JGAZ000000011,JGAS000006
10,JGAZ000000012,JGAS000008
11,JGAZ000000013,JGAS000009
11,JGAZ000000014,JGAS000009
11,JGAZ000000015,JGAS000009
11,JGAZ000000016,JGAS000009
11,JGAZ000000017,JGAS000009
11,JGAZ000000018,JGAS000009
11,JGAZ000000019,JGAS000009
11,JGAZ000000020,JGAS000009
11,JGAZ000000021,JGAS000009
11,JGAZ000000022,JGAS000009
11,JGAZ000000023,JGAS000009
11,JGAZ000000024,JGAS000009
11,JGAZ000000025,JGAS000009
11,JGAZ000000026,JGAS000009
11,JGAZ000000027,JGAS000009
11,JGAZ000000028,JGAS000009
11,JGAZ000000029,JGAS000009
11,JGAZ000000030,JGAS000009
11,JGAZ000000031,JGAS000009
11,JGAZ000000032,JGAS000009
11,JGAZ000000033,JGAS000009
14,JGAZ000000034,JGAS000012
15,JGAZ000000046,JGAS000014
15,JGAZ000000047,JGAS000014
15,JGAZ000000048,JGAS000014
15,JGAZ000000049,JGAS000014
15,JGAZ000000050,JGAS000014
15,JGAZ000000051,JGAS000014
16,JGAZ000000035,JGAS000013
16,JGAZ000000036,JGAS000013
16,JGAZ000000037,JGAS000013
16,JGAZ000000038,JGAS000013
16,JGAZ000000039,JGAS000013
16,JGAZ000000040,JGAS000013
16,JGAZ000000041,JGAS000013
16,JGAZ000000042,JGAS000013
16,JGAZ000000043,JGAS000013
16,JGAZ000000044,JGAS000013
16,JGAZ000000045,JGAS000013
17,JGAZ000000052,JGAS000015
17,JGAZ000000053,JGAS000015
17,JGAZ000000054,JGAS000015
17,JGAZ000000055,JGAS000015
17,JGAZ000000056,JGAS000015
17,JGAZ000000057,JGAS000015
17,JGAZ000000058,JGAS000015
17,JGAZ000000059,JGAS000015
17,JGAZ000000060,JGAS000015
17,JGAZ000000061,JGAS000015
18,JGAZ000000052,JGAS000015
18,JGAZ000000053,JGAS000015
18,JGAZ000000054,JGAS000015
18,JGAZ000000055,JGAS000015
18,JGAZ000000056,JGAS000015
18,JGAZ000000057,JGAS000015
18,JGAZ000000058,JGAS000015
18,JGAZ000000059,JGAS000015
18,JGAZ000000060,JGAS000015
18,JGAZ000000061,JGAS000015
19,JGAZ000000062,JGAS000016
19,JGAZ000000063,JGAS000016
19,JGAZ000000064,JGAS000016
19,JGAZ000000065,JGAS000016
19,JGAZ000000066,JGAS000016
19,JGAZ000000067,JGAS000016
19,JGAZ000000068,JGAS000016
19,JGAZ000000069,JGAS000016
19,JGAZ000000070,JGAS000016
19,JGAZ000000071,JGAS000016
19,JGAZ000000072,JGAS000016
19,JGAZ000000073,JGAS000016
19,JGAZ000000074,JGAS000016
19,JGAZ000000075,JGAS000016
19,JGAZ000000076,JGAS000016
19,JGAZ000000077,JGAS000016
19,JGAZ000000078,JGAS000016
19,JGAZ000000079,JGAS000016
19,JGAZ000000080,JGAS000016
19,JGAZ000000081,JGAS000016
19,JGAZ000000082,JGAS000016
19,JGAZ000000083,JGAS000016
19,JGAZ000000084,JGAS000016
19,JGAZ000000085,JGAS000016
19,JGAZ000000086,JGAS000016
19,JGAZ000000087,JGAS000016
19,JGAZ000000088,JGAS000016
