entry_id,self_accession,parent_accession
1,JGAP000001,JGAC000001
2,JGAP000001,JGAC000001
3,JGAP000001,JGAC000001
4,JGAP000001,JGAC000001
5,JGAP000001,JGAC000001
6,JGAP000001,JGAC000001
7,JGAP000001,JGAC000001
8,JGAP000001,JGAC000001
9,JGAP000001,JGAC000001
10,JGAP000001,JGAC000001
11,JGAP000001,JGAC000001
12,JGAP000001,JGAC000001
13,JGAP000001,JGAC000001
14,JGAP000001,JGAC000001
15,JGAP000001,JGAC000001
16,JGAP000001,JGAC000001
17,JGAP000001,JGAC000001
18,JGAP000001,JGAC000001
19,JGAP000001,JGAC000001
20,JGAP000001,JGAC000001
21,JGAP000001,JGAC000001
22,JGAP000001,JGAC000001
23,JGAP000001,JGAC000001
24,JGAP000001,JGAC000001
25,JGAP000001,JGAC000001
26,JGAP000001,JGAC000001
27,JGAP000001,JGAC000001
28,JGAP000001,JGAC000001
29,JGAP000004,JGAC000001
30,JGAP000001,JGAC000001
31,JGAP000001,JGAC000001
32,JGAP000001,JGAC000001
52,JGAP000001,JGAC000001
53,JGAP000001,JGAC000001
54,JGAP000001,JGAC000001
55,JGAP000001,JGAC000001
56,JGAP000001,JGAC000001
57,JGAP000001,JGAC000001
58,JGAP000004,JGAC000001
59,JGAP000004,JGAC000001
60,JGAP000001,JGAC000001
61,JGAP000001,JGAC000001
62,JGAP000001,JGAC000001
63,JGAP000001,JGAC000001
64,JGAP000001,JGAC000001
65,JGAP000001,JGAC000001
66,JGAP000001,JGAC000001
67,JGAP000001,JGAC000001
68,JGAP000001,JGAC000001
69,JGAP000006,JGAC000001
70,JGAP000001,JGAC000001
71,JGAP000001,JGAC000001
72,JGAP000006,JGAC000001
73,JGAP000006,JGAC000001
74,JGAP000001,JGAC000001
75,JGAP000001,JGAC000001
76,JGAP000004,JGAC000001
77,JGAP000001,JGAC000001
78,JGAP000001,JGAC000001
81,JGAP000001,JGAC000001
82,JGAP000001,JGAC000001
83,JGAP000001,JGAC000001
84,JGAP000006,JGAC000001
85,JGAP000001,JGAC000001
86,JGAP000001,JGAC000001
87,JGAP000001,JGAC000001
88,JGAP000001,JGAC000001
88,JGAP000004,JGAC000001
89,JGAP000001,JGAC000001
89,JGAP000004,JGAC000001
90,JGAP000001,JGAC000001
90,JGAP000004,JGAC000001
91,JGAP000001,JGAC000001
91,JGAP000004,JGAC000001
92,JGAP000001,JGAC000001
92,JGAP000004,JGAC000001
93,JGAP000001,JGAC000001
93,JGAP000004,JGAC000001
94,JGAP000001,JGAC000001
95,JGAP000001,JGAC000001
95,JGAP000002,JGAC000001
96,JGAP000001,JGAC000001
96,JGAP000003,JGAC000001
97,JGAP000001,JGAC000001
97,JGAP000003,JGAC000001
98,JGAP000001,JGAC000001
98,JGAP000004,JGAC000001
99,JGAP000001,JGAC000001
99,JGAP000003,JGAC000001
100,JGAP000001,JGAC000001
100,JGAP000004,JGAC000001
101,JGAP000001,JGAC000001
102,JGAP000001,JGAC000001
103,JGAP000001,JGAC000001
104,JGAP000001,JGAC000001
105,JGAP000001,JGAC000001
106,JGAP000004,JGAC000001
107,JGAP000004,JGAC000001
108,JGAP000001,JGAC000001
110,JGAP000001,JGAC000001
111,JGAP000001,JGAC000001
113,JGAP000004,JGAC000001
114,JGAP000005,JGAC000001
115,JGAP000001,JGAC000001
117,JGAP000001,JGAC000001
118,JGAP000001,JGAC000001
119,JGAP000001,JGAC000001
119,JGAP000004,JGAC000001
120,JGAP000001,JGAC000001
122,JGAP000005,JGAC000001
124,JGAP000005,JGAC000001
137,JGAP000001,JGAC000001
138,JGAP000001,JGAC000001
139,JGAP000001,JGAC000001
140,JGAP000001,JGAC000001
141,JGAP000004,JGAC000001
142,JGAP000001,JGAC000001
143,JGAP000001,JGAC000001
144,JGAP000001,JGAC000001
145,JGAP000004,JGAC000001
146,JGAP000004,JGAC000001
147,JGAP000001,JGAC000001
150,JGAP000001,JGAC000001
151,JGAP000005,JGAC000001
152,JGAP000005,JGAC000001
153,JGAP000001,JGAC000001
154,JGAP000001,JGAC000001
155,JGAP000001,JGAC000001
156,JGAP000001,JGAC000001
157,JGAP000001,JGAC000001
159,JGAP000001,JGAC000001
160,JGAP000001,JGAC000001
161,JGAP000001,JGAC000001
162,JGAP000001,JGAC000001
163,JGAP000001,JGAC000001
