Accession	Submission	Status	Updated	Published	Received	Type	Center	Visibility	Alias	Experiment	Sample	Study	Loaded	Spots	Bases	Md5sum	BioSample	BioProject	ReplacedBy
DRA000001	DRA000001	live	2021-07-01T05:42:29Z	2010-03-24T03:10:22Z	2009-06-20T02:48:01Z	SUBMISSION	KEIO	public	DRA000001	-	-	-	-	-	-	247a10cb6254caa26f2ca64f49bc0271	-	-	-
DRP000001	DRA000001	live	2020-08-25T15:30:25Z	2015-07-31T15:20:44Z	2009-06-20T02:48:02Z	STUDY	KEIO	public	DRP000001	-	-	-	-	-	-	2072beecdd9e29f6cbd5903cff0de32c	-	PRJDA38027	-
DRR000001	DRA000001	live	2021-07-01T05:42:29Z	2010-03-24T03:10:22Z	2009-06-20T02:48:04Z	RUN	KEIO	public	2008-09-12.BEST195-Lane7	DRX000001	DRS000001	DRP000001	1	10148174	730668528	252bccb8e87c5a3010bead90ce5f5614	SAMD00016353	PRJDA38027	-
DRS000001	DRA000001	live	2015-03-26T21:32:35Z	2010-03-24T03:10:22Z	2009-06-20T02:48:03Z	SAMPLE	BioSample	public	SAMD00016353	-	-	-	-	-	-	764b0110478fa0755d9d81887339ce59	SAMD00016353	-	-
DRX000001	DRA000001	live	2015-01-30T13:21:34Z	2010-03-24T03:10:22Z	2009-06-20T02:48:03Z	EXPERIMENT	KEIO	public	DRX000001	-	DRS000001	DRP000001	-	-	-	1389579d7a3e83b5100ab5bd07e00873	SAMD00016353	PRJDA38027	-
DRA000002	DRA000002	live	2021-02-12T21:15:54Z	2010-03-24T03:11:55Z	2009-08-04T07:37:02Z	SUBMISSION	KEIO	public	DRA000002	-	-	-	-	-	-	c4e77d833c5ac18a4dd8756fcb5dbead	-	-	-
DRP000002	DRA000002	live	2020-04-09T01:38:36Z	2010-03-24T03:11:55Z	2009-08-04T07:37:05Z	STUDY	KEIO	public	DRP000002	-	-	-	-	-	-	7377970338c9553c9c53f9ff302b0416	-	PRJDA39275	-
DRR000002	DRA000002	live	2021-02-12T21:15:54Z	2010-03-24T03:11:55Z	2009-08-04T07:37:11Z	RUN	KEIO	public	2008-09-12.Bsu168-Lane5	DRX000002	DRS000002	DRP000002	1	8316737	598805064	7c24b66a41667877b21587bc64b3e6b6	SAMD00002791	PRJDA39275	-
DRS000002	DRA000002	live	2015-03-26T21:32:35Z	2010-03-24T03:11:55Z	2009-08-04T07:37:07Z	SAMPLE	BioSample	public	SAMD00002791	-	-	-	-	-	-	f40e622db038e1fd3bc3514f5ac06ce5	SAMD00002791	-	-
DRX000002	DRA000002	live	2015-01-30T13:22:33Z	2010-03-24T03:11:55Z	2009-08-04T07:37:10Z	EXPERIMENT	KEIO	public	DRX000002	-	DRS000002	DRP000002	-	-	-	eef66f429ae73c3d58618603a230824d	SAMD00002791	PRJDA39275	-
DRA000003	DRA000003	live	2021-07-01T05:42:34Z	2010-10-14T04:53:29Z	2009-08-06T07:54:02Z	SUBMISSION	UT-MGS	public	UT-MGS_51	-	-	-	-	-	-	0d94b09217d7828977b4c05fea2f081e	-	-	-
DRP000003	DRA000003	live	2020-04-09T00:11:39Z	2010-10-14T04:53:29Z	2009-08-06T07:54:04Z	STUDY	UT-MGS	public	DRP000003	-	-	-	-	-	-	cf009d061bccaaeb6e2b3e9ca8ae1ca7	-	PRJDA34559	-
