accession,datecreated,datepublished,datemodified
JGAC000001,2014-07-07 14:00:37.208+09,2020-09-03 15:14:54.794922+09,2020-08-11 09:47:50.193+09
JGAD000001,2014-07-18 10:37:12.912+09,2020-09-03 09:59:06.837202+09,2020-08-11 09:49:04.007+09
JGAD000002,2014-09-04 14:10:13.63+09,2020-09-03 09:59:07.1655+09,2020-08-11 09:49:04.155+09
JGAD000004,2014-09-08 17:23:12.765+09,2020-09-03 09:59:06.782273+09,2020-08-11 09:49:17.559+09
JGAD000005,2014-09-09 10:21:29.888+09,2020-09-03 09:59:06.882144+09,2020-08-11 09:49:17.613+09
JGAD000006,2014-10-29 14:47:13.369+09,2020-09-03 09:59:06.968203+09,2020-08-11 09:49:33.831+09
JGAD000007,2014-10-30 22:11:17.146+09,2020-09-03 09:59:07.186425+09,2020-08-11 09:49:33.948+09
JGAD000008,2014-11-04 13:08:29.683+09,2020-09-03 09:59:07.001353+09,2020-08-11 09:49:34.017+09
JGAD000009,2014-11-20 17:16:18.694+09,2020-09-03 09:59:07.051452+09,2020-08-11 09:49:49.855+09
JGAD000011,2014-12-22 13:37:41.825+09,2020-09-03 09:59:07.174833+09,2020-08-11 09:50:42.804+09
JGAD000012,2014-12-24 17:04:53.938+09,2020-09-03 12:09:51.541942+09,2020-08-11 10:22:51.35+09
JGAD000013,2015-01-06 19:05:34.481+09,2020-09-03 09:59:07.288+09,2020-08-11 10:22:51.537+09
JGAD000014,2015-01-05 20:53:09.313+09,2020-09-03 09:59:07.453631+09,2020-08-11 10:22:51.434+09
JGAD000015,2015-01-15 00:16:03.949+09,2020-09-03 09:59:07.544722+09,2020-08-11 10:23:03.078+09
JGAD000016,2015-01-23 10:24:52.075+09,2020-09-03 09:59:07.049648+09,2020-08-11 10:23:22.289+09
JGAD000017,2015-02-02 14:31:58.572+09,2020-09-03 09:59:07.169515+09,2020-08-11 10:23:22.359+09
JGAD000018,2015-03-04 15:37:29.57+09,2020-09-03 09:59:07.496742+09,2020-08-11 10:29:28.955+09
JGAD000021,2015-03-05 12:02:54.375+09,2020-09-03 09:59:07.384008+09,2020-08-11 10:30:21.56+09
JGAD000022,2015-03-18 17:58:59.288+09,2020-09-03 09:59:07.093005+09,2020-08-11 10:31:14.578+09
JGAD000023,2015-04-15 05:00:29.723+09,2020-09-03 09:59:07.355756+09,2020-08-11 10:31:28.301+09
JGAD000024,2015-03-27 13:26:47.591+09,2020-09-03 09:59:07.519016+09,2020-08-11 10:31:14.62+09
JGAD000025,2015-05-01 08:33:45.062+09,2020-09-03 09:59:06.949362+09,2020-08-11 10:31:38.835+09
JGAD000026,2015-06-01 19:07:15.782932+09,2020-09-03 09:59:07.323945+09,2020-08-11 10:32:12.514+09
JGAD000027,2015-05-08 09:41:23.291+09,2020-09-03 09:59:07.128326+09,2020-08-11 10:31:55.836+09
JGAD000028,2015-04-28 13:41:55.516+09,2020-09-03 09:59:07.189382+09,2020-08-11 10:31:28.536+09
JGAD000032,2015-08-23 23:37:39.004221+09,2020-09-03 09:59:07.191417+09,2020-08-11 10:32:55.21+09
JGAD000035,2015-08-29 11:13:28.172413+09,2020-09-03 09:59:06.97128+09,2020-08-11 10:34:25.655+09
JGAD000036,2015-09-05 22:53:08.577818+09,2020-09-03 09:59:07.333702+09,2020-08-11 10:34:41.521+09
JGAD000037,2015-09-24 14:08:38.900895+09,2020-09-03 09:59:07.208326+09,2020-08-11 10:35:22.505+09
JGAD000038,2015-10-07 11:48:09.599814+09,2020-09-03 09:59:07.026295+09,2020-08-11 10:36:04.22+09
JGAD000039,2015-10-20 11:24:32.605206+09,2020-09-03 09:59:07.327009+09,2020-08-11 10:36:04.28+09
