entry_id,self_accession,parent_accession
1,JGAD000001,JGAP000001
1,JGAP000001,JGAC000001
1,JGAS000001,
2,JGAP000001,JGAC000001
3,JGAP000001,JGAC000001
4,JGAD000002,JGAP000001
4,JGAP000001,JGAC000001
4,JGAS000002,
5,JGAP000001,JGAC000001
6,JGAD000004,JGAP000001
6,JGAP000001,JGAC000001
6,JGAS000004,
7,JGAD000005,JGAP000001
7,JGAP000001,JGAC000001
7,JGAS000005,
8,JGAD000006,JGAP000001
8,JGAP000001,JGAC000001
8,JGAS000006,
9,JGAD000007,JGAP000001
9,JGAP000001,JGAC000001
9,JGAS000007,
10,JGAD000008,JGAP000001
10,JGAP000001,JGAC000001
10,JGAS000008,
11,JGAD000009,JGAP000001
11,JGAP000001,JGAC000001
11,JGAS000009,
12,JGAP000001,JGAC000001
13,JGAD000011,JGAP000001
13,JGAP000001,JGAC000001
13,JGAS000011,
14,JGAD000012,JGAP000001
14,JGAP000001,JGAC000001
14,JGAS000012,
15,JGAD000014,JGAP000001
15,JGAP000001,JGAC000001
15,JGAS000014,
16,JGAD000013,JGAP000001
16,JGAP000001,JGAC000001
16,JGAS000013,
17,JGAD000015,JGAP000001
17,JGAP000001,JGAC000001
17,JGAS000015,
18,JGAD000015,JGAP000001
18,JGAP000001,JGAC000001
18,JGAS000015,
19,JGAD000016,JGAP000001
19,JGAP000001,JGAC000001
19,JGAS000016,
20,JGAD000017,JGAP000001
20,JGAP000001,JGAC000001
20,JGAS000017,
21,JGAP000001,JGAC000001
22,JGAP000001,JGAC000001
23,JGAD000018,JGAP000001
23,JGAP000001,JGAC000001
23,JGAS000018,
24,JGAP000001,JGAC000001
25,JGAP000001,JGAC000001
26,JGAD000021,JGAP000001
26,JGAP000001,JGAC000001
26,JGAS000021,
27,JGAD000022,JGAP000001
27,JGAP000001,JGAC000001
27,JGAS000022,
28,JGAD000024,JGAP000001
28,JGAP000001,JGAC000001
28,JGAS000024,
29,JGAD000023,JGAP000004
29,JGAP000004,JGAC000001
29,JGAS000023,
30,JGAD000028,JGAP000001
30,JGAP000001,JGAC000001
30,JGAS000028,
31,JGAD000025,JGAP000001
31,JGAP000001,JGAC000001
31,JGAS000025,
32,JGAD000027,JGAP000001
32,JGAP000001,JGAC000001
32,JGAS000027,
33,JGAS000026,
37,JGAD000032,JGAP000001
37,JGAS000032,
40,JGAD000035,JGAP000001
40,JGAS000035,
41,JGAD000036,JGAP000001
41,JGAS000036,
42,JGAS000037,
43,JGAD000038,JGAP000001
43,JGAS000038,
44,JGAD000039,JGAP000005
44,JGAS000039,
45,JGAD000040,JGAP000001
45,JGAS000040,
46,JGAD000041,JGAP000001
46,JGAS000041,
47,JGAD000042,JGAP000003
47,JGAS000042,
48,JGAD000043,JGAP000003
48,JGAS000043,
49,JGAD000044,JGAP000003
49,JGAS000044,
50,JGAD000045,JGAP000003
50,JGAS000045,
51,JGAD000046,JGAP000001
51,JGAS000046,
52,JGAD000047,JGAP000001
52,JGAP000001,JGAC000001
52,JGAS000047,
53,JGAP000001,JGAC000001
54,JGAP000001,JGAC000001
55,JGAP000001,JGAC000001
56,JGAD000051,JGAP000001
56,JGAP000001,JGAC000001
56,JGAS000051,
57,JGAP000001,JGAC000001
58,JGAD000023,JGAP000004
58,JGAP000004,JGAC000001
58,JGAS000023,
59,JGAD000023,JGAP000004
59,JGAP000004,JGAC000001
59,JGAS000023,
60,JGAD000021,JGAP000001
60,JGAP000001,JGAC000001
60,JGAS000021,
61,JGAD000018,JGAP000001
61,JGAP000001,JGAC000001
61,JGAS000018,
62,JGAD000018,JGAP000001
62,JGAP000001,JGAC000001
62,JGAS000018,
63,JGAD000021,JGAP000001
63,JGAP000001,JGAC000001
63,JGAS000021,
64,JGAD000052,JGAP000001
64,JGAP000001,JGAC000001
64,JGAS000052,
65,JGAD000053,JGAP000001
65,JGAP000001,JGAC000001
65,JGAS000053,
66,JGAP000001,JGAC000001
67,JGAD000037,JGAP000001
67,JGAP000001,JGAC000001
67,JGAS000037,
68,JGAP000001,JGAC000001
69,JGAP000006,JGAC000001
70,JGAP000001,JGAC000001
71,JGAD000057,JGAP000001
71,JGAP000001,JGAC000001
71,JGAS000057,
72,JGAP000006,JGAC000001
73,JGAP000006,JGAC000001
74,JGAD000059,JGAP000001
74,JGAP000001,JGAC000001
74,JGAS000059,
75,JGAD000060,JGAP000001
75,JGAP000001,JGAC000001
75,JGAS000060,
76,JGAD000062,JGAP000004
76,JGAP000004,JGAC000001
76,JGAS000062,
77,JGAP000001,JGAC000001
78,JGAD000061,JGAP000001
78,JGAP000001,JGAC000001
78,JGAS000061,
79,JGAS000040,
80,JGAS000040,
81,JGAD000040,JGAP000001
81,JGAP000001,JGAC000001
81,JGAS000040,
82,JGAD000064,JGAP000001
82,JGAP000001,JGAC000001
82,JGAS000064,
83,JGAD000065,JGAP000001
83,JGAP000001,JGAC000001
83,JGAS000065,
84,JGAP000006,JGAC000001
85,JGAP000001,JGAC000001
86,JGAP000001,JGAC000001
87,JGAP000001,JGAC000001
88,JGAD000004,JGAP000004
88,JGAP000001,JGAC000001
88,JGAP000004,JGAC000001
88,JGAS000004,
89,JGAD000017,JGAP000004
89,JGAP000001,JGAC000001
89,JGAP000004,JGAC000001
89,JGAS000017,
90,JGAD000022,JGAP000004
90,JGAP000001,JGAC000001
90,JGAP000004,JGAC000001
90,JGAS000022,
91,JGAD000037,JGAP000004
91,JGAP000001,JGAC000001
91,JGAP000004,JGAC000001
91,JGAS000037,
92,JGAD000036,JGAP000004
92,JGAP000001,JGAC000001
92,JGAP000004,JGAC000001
92,JGAS000036,
93,JGAD000047,JGAP000004
93,JGAP000001,JGAC000001
93,JGAP000004,JGAC000001
93,JGAS000047,
94,JGAD000038,JGAP000001
94,JGAP000001,JGAC000001
94,JGAS000038,
95,JGAD000001,JGAP000002
95,JGAP000001,JGAC000001
95,JGAP000002,JGAC000001
95,JGAS000001,
96,JGAD000024,JGAP000003
96,JGAP000001,JGAC000001
96,JGAP000003,JGAC000001
96,JGAS000024,
97,JGAD000040,JGAP000003
97,JGAP000001,JGAC000001
97,JGAP000003,JGAC000001
97,JGAS000040,
98,JGAD000052,JGAP000004
98,JGAP000001,JGAC000001
98,JGAP000004,JGAC000001
98,JGAS000052,
99,JGAP000001,JGAC000001
99,JGAP000003,JGAC000001
100,JGAP000001,JGAC000001
100,JGAP000004,JGAC000001
101,JGAD000070,JGAP000001
101,JGAP000001,JGAC000001
101,JGAS000070,
102,JGAD000071,JGAP000001
102,JGAP000001,JGAC000001
102,JGAS000071,
103,JGAP000001,JGAC000001
104,JGAD000073,JGAP000001
104,JGAP000001,JGAC000001
104,JGAS000073,
105,JGAP000001,JGAC000001
106,JGAD000075,JGAP000004
106,JGAP000004,JGAC000001
106,JGAS000075,
107,JGAD000076,JGAP000004
107,JGAP000004,JGAC000001
107,JGAS000076,
108,JGAD000077,JGAP000001
108,JGAP000001,JGAC000001
108,JGAS000077,
109,JGAS000076,
110,JGAD000064,JGAP000001
110,JGAP000001,JGAC000001
110,JGAS000064,
111,JGAD000064,JGAP000001
111,JGAP000001,JGAC000001
111,JGAS000064,
112,JGAS000039,
113,JGAD000076,JGAP000004
113,JGAP000004,JGAC000001
113,JGAS000076,
114,JGAD000039,JGAP000005
114,JGAP000005,JGAC000001
114,JGAS000039,
115,JGAD000078,JGAP000001
115,JGAP000001,JGAC000001
115,JGAS000078,
116,JGAS000047,
117,JGAD000079,JGAP000001
117,JGAP000001,JGAC000001
117,JGAS000079,
118,JGAD000080,JGAP000001
118,JGAP000001,JGAC000001
118,JGAS000080,
119,JGAD000047,JGAP000004
119,JGAP000001,JGAC000001
119,JGAP000004,JGAC000001
119,JGAS000047,
120,JGAD000028,JGAP000001
120,JGAP000001,JGAC000001
120,JGAS000028,
121,JGAS000046,
122,JGAD000039,JGAP000005
122,JGAP000005,JGAC000001
122,JGAS000039,
123,JGAS000039,
124,JGAD000039,JGAP000005
124,JGAP000005,JGAC000001
124,JGAS000039,
137,JGAP000001,JGAC000001
138,JGAP000001,JGAC000001
139,JGAP000001,JGAC000001
140,JGAD000046,JGAP000001
140,JGAP000001,JGAC000001
140,JGAS000046,
141,JGAD000091,JGAP000004
141,JGAP000004,JGAC000001
141,JGAS000091,
142,JGAP000001,JGAC000001
143,JGAP000001,JGAC000001
144,JGAD000086,JGAP000001
144,JGAP000001,JGAC000001
144,JGAS000086,
145,JGAD000087,JGAP000004
145,JGAP000004,JGAC000001
145,JGAS000087,
146,JGAD000089,JGAP000004
146,JGAP000004,JGAC000001
146,JGAS000089,
147,JGAD000090,JGAP000001
147,JGAP000001,JGAC000001
147,JGAS000090,
150,JGAP000001,JGAC000001
151,JGAD000039,JGAP000005
151,JGAP000005,JGAC000001
151,JGAS000039,
152,JGAD000039,JGAP000005
152,JGAP000005,JGAC000001
152,JGAS000039,
153,JGAD000041,JGAP000001
153,JGAP000001,JGAC000001
153,JGAS000041,
154,JGAD000011,JGAP000001
